newsID,publisherID,dataset
BuzzfeedNews99,Publisher1,Data1
BuzzfeedNews125,Publisher1,Data1
BuzzfeedNews2,Publisher2,Data1
BuzzfeedNews5,Publisher2,Data1
BuzzfeedNews7,Publisher2,Data1
BuzzfeedNews8,Publisher2,Data1
BuzzfeedNews14,Publisher2,Data1
BuzzfeedNews36,Publisher2,Data1
BuzzfeedNews39,Publisher2,Data1
BuzzfeedNews64,Publisher2,Data1
BuzzfeedNews81,Publisher2,Data1
PolitifactNews9,Publisher2,Data2
PolitifactNews35,Publisher2,Data2
PolitifactNews45,Publisher2,Data2
PolitifactNews57,Publisher2,Data2
PolitifactNews59,Publisher2,Data2
PolitifactNews79,Publisher2,Data2
PolitifactNews96,Publisher2,Data2
PolitifactNews101,Publisher2,Data2
PolitifactNews120,Publisher2,Data2
BuzzfeedNews49,Publisher3,Data1
BuzzfeedNews57,Publisher3,Data1
BuzzfeedNews72,Publisher3,Data1
BuzzfeedNews74,Publisher3,Data1
BuzzfeedNews90,Publisher3,Data1
BuzzfeedNews92,Publisher3,Data1
BuzzfeedNews95,Publisher3,Data1
BuzzfeedNews130,Publisher3,Data1
BuzzfeedNews165,Publisher3,Data1
PolitifactNews15,Publisher3,Data2
PolitifactNews21,Publisher3,Data2
PolitifactNews26,Publisher3,Data2
PolitifactNews66,Publisher3,Data2
PolitifactNews70,Publisher3,Data2
PolitifactNews71,Publisher3,Data2
PolitifactNews90,Publisher3,Data2
BuzzfeedNews97,Publisher4,Data1
BuzzfeedNews109,Publisher4,Data1
BuzzfeedNews142,Publisher5,Data1
PolitifactNews37,Publisher5,Data2
PolitifactNews80,Publisher5,Data2
PolitifactNews88,Publisher5,Data2
PolitifactNews107,Publisher5,Data2
BuzzfeedNews118,Publisher6,Data1
BuzzfeedNews161,Publisher7,Data1
PolitifactNews36,Publisher7,Data2
BuzzfeedNews136,Publisher8,Data1
BuzzfeedNews180,Publisher8,Data1
BuzzfeedNews9,Publisher9,Data1
BuzzfeedNews12,Publisher9,Data1
BuzzfeedNews16,Publisher9,Data1
BuzzfeedNews23,Publisher9,Data1
BuzzfeedNews28,Publisher9,Data1
BuzzfeedNews32,Publisher9,Data1
BuzzfeedNews37,Publisher9,Data1
BuzzfeedNews40,Publisher9,Data1
BuzzfeedNews43,Publisher9,Data1
BuzzfeedNews45,Publisher9,Data1
BuzzfeedNews46,Publisher9,Data1
BuzzfeedNews47,Publisher9,Data1
BuzzfeedNews53,Publisher9,Data1
BuzzfeedNews61,Publisher9,Data1
BuzzfeedNews63,Publisher9,Data1
BuzzfeedNews67,Publisher9,Data1
BuzzfeedNews69,Publisher9,Data1
BuzzfeedNews71,Publisher9,Data1
BuzzfeedNews73,Publisher9,Data1
BuzzfeedNews79,Publisher9,Data1
BuzzfeedNews84,Publisher9,Data1
BuzzfeedNews85,Publisher9,Data1
BuzzfeedNews89,Publisher9,Data1
PolitifactNews3,Publisher9,Data2
PolitifactNews11,Publisher9,Data2
PolitifactNews12,Publisher9,Data2
PolitifactNews52,Publisher9,Data2
PolitifactNews53,Publisher9,Data2
PolitifactNews63,Publisher9,Data2
PolitifactNews64,Publisher9,Data2
PolitifactNews67,Publisher9,Data2
PolitifactNews68,Publisher9,Data2
PolitifactNews76,Publisher9,Data2
PolitifactNews81,Publisher9,Data2
PolitifactNews83,Publisher9,Data2
PolitifactNews85,Publisher9,Data2
PolitifactNews86,Publisher9,Data2
PolitifactNews89,Publisher9,Data2
PolitifactNews94,Publisher9,Data2
PolitifactNews97,Publisher9,Data2
PolitifactNews100,Publisher9,Data2
PolitifactNews108,Publisher9,Data2
PolitifactNews109,Publisher9,Data2
PolitifactNews115,Publisher9,Data2
PolitifactNews119,Publisher9,Data2
BuzzfeedNews34,Publisher10,Data1
BuzzfeedNews101,Publisher10,Data1
PolitifactNews41,Publisher10,Data2
PolitifactNews69,Publisher10,Data2
PolitifactNews74,Publisher10,Data2
BuzzfeedNews166,Publisher11,Data1
BuzzfeedNews179,Publisher11,Data1
BuzzfeedNews1,Publisher12,Data1
BuzzfeedNews17,Publisher12,Data1
BuzzfeedNews21,Publisher12,Data1
BuzzfeedNews42,Publisher12,Data1
BuzzfeedNews58,Publisher12,Data1
BuzzfeedNews78,Publisher12,Data1
BuzzfeedNews87,Publisher12,Data1
BuzzfeedNews93,Publisher12,Data1
BuzzfeedNews94,Publisher12,Data1
BuzzfeedNews98,Publisher12,Data1
BuzzfeedNews100,Publisher12,Data1
BuzzfeedNews104,Publisher12,Data1
BuzzfeedNews110,Publisher12,Data1
BuzzfeedNews111,Publisher12,Data1
BuzzfeedNews112,Publisher12,Data1
BuzzfeedNews114,Publisher12,Data1
BuzzfeedNews147,Publisher12,Data1
BuzzfeedNews158,Publisher12,Data1
PolitifactNews23,Publisher12,Data2
PolitifactNews54,Publisher12,Data2
PolitifactNews103,Publisher12,Data2
PolitifactNews112,Publisher12,Data2
PolitifactNews114,Publisher12,Data2
BuzzfeedNews38,Publisher13,Data1
BuzzfeedNews117,Publisher13,Data1
BuzzfeedNews121,Publisher13,Data1
BuzzfeedNews122,Publisher13,Data1
BuzzfeedNews123,Publisher13,Data1
BuzzfeedNews126,Publisher13,Data1
BuzzfeedNews127,Publisher13,Data1
BuzzfeedNews128,Publisher13,Data1
BuzzfeedNews129,Publisher13,Data1
BuzzfeedNews131,Publisher13,Data1
BuzzfeedNews132,Publisher13,Data1
BuzzfeedNews133,Publisher13,Data1
BuzzfeedNews134,Publisher13,Data1
BuzzfeedNews135,Publisher13,Data1
BuzzfeedNews138,Publisher13,Data1
BuzzfeedNews141,Publisher13,Data1
BuzzfeedNews143,Publisher13,Data1
PolitifactNews25,Publisher13,Data2
PolitifactNews56,Publisher13,Data2
PolitifactNews104,Publisher13,Data2
BuzzfeedNews102,Publisher14,Data1
BuzzfeedNews120,Publisher14,Data1
BuzzfeedNews137,Publisher14,Data1
BuzzfeedNews33,Publisher15,Data1
BuzzfeedNews50,Publisher15,Data1
BuzzfeedNews167,Publisher16,Data1
BuzzfeedNews170,Publisher16,Data1
BuzzfeedNews15,Publisher17,Data1
BuzzfeedNews145,Publisher17,Data1
BuzzfeedNews146,Publisher17,Data1
BuzzfeedNews148,Publisher17,Data1
BuzzfeedNews149,Publisher17,Data1
BuzzfeedNews151,Publisher17,Data1
BuzzfeedNews152,Publisher17,Data1
PolitifactNews1,Publisher17,Data2
PolitifactNews28,Publisher17,Data2
PolitifactNews33,Publisher17,Data2
PolitifactNews55,Publisher17,Data2
PolitifactNews77,Publisher17,Data2
PolitifactNews92,Publisher17,Data2
PolitifactNews99,Publisher17,Data2
PolitifactNews106,Publisher17,Data2
PolitifactNews110,Publisher17,Data2
PolitifactNews121,Publisher17,Data2
BuzzfeedNews29,Publisher18,Data1
PolitifactNews38,Publisher18,Data2
PolitifactNews111,Publisher18,Data2
BuzzfeedNews4,Publisher19,Data1
BuzzfeedNews10,Publisher19,Data1
BuzzfeedNews11,Publisher19,Data1
BuzzfeedNews13,Publisher19,Data1
BuzzfeedNews18,Publisher19,Data1
BuzzfeedNews20,Publisher19,Data1
BuzzfeedNews22,Publisher19,Data1
BuzzfeedNews24,Publisher19,Data1
BuzzfeedNews25,Publisher19,Data1
BuzzfeedNews26,Publisher19,Data1
BuzzfeedNews31,Publisher19,Data1
BuzzfeedNews35,Publisher19,Data1
BuzzfeedNews41,Publisher19,Data1
BuzzfeedNews44,Publisher19,Data1
BuzzfeedNews48,Publisher19,Data1
BuzzfeedNews51,Publisher19,Data1
BuzzfeedNews55,Publisher19,Data1
BuzzfeedNews56,Publisher19,Data1
BuzzfeedNews59,Publisher19,Data1
BuzzfeedNews62,Publisher19,Data1
BuzzfeedNews65,Publisher19,Data1
BuzzfeedNews66,Publisher19,Data1
BuzzfeedNews68,Publisher19,Data1
BuzzfeedNews70,Publisher19,Data1
BuzzfeedNews75,Publisher19,Data1
BuzzfeedNews76,Publisher19,Data1
BuzzfeedNews80,Publisher19,Data1
BuzzfeedNews82,Publisher19,Data1
BuzzfeedNews83,Publisher19,Data1
BuzzfeedNews86,Publisher19,Data1
BuzzfeedNews88,Publisher19,Data1
BuzzfeedNews91,Publisher19,Data1
PolitifactNews5,Publisher19,Data2
PolitifactNews6,Publisher19,Data2
PolitifactNews7,Publisher19,Data2
PolitifactNews8,Publisher19,Data2
PolitifactNews10,Publisher19,Data2
PolitifactNews13,Publisher19,Data2
PolitifactNews14,Publisher19,Data2
PolitifactNews17,Publisher19,Data2
PolitifactNews18,Publisher19,Data2
PolitifactNews19,Publisher19,Data2
PolitifactNews20,Publisher19,Data2
PolitifactNews22,Publisher19,Data2
PolitifactNews24,Publisher19,Data2
PolitifactNews27,Publisher19,Data2
PolitifactNews29,Publisher19,Data2
PolitifactNews30,Publisher19,Data2
PolitifactNews31,Publisher19,Data2
PolitifactNews32,Publisher19,Data2
PolitifactNews34,Publisher19,Data2
PolitifactNews40,Publisher19,Data2
PolitifactNews42,Publisher19,Data2
PolitifactNews43,Publisher19,Data2
PolitifactNews46,Publisher19,Data2
PolitifactNews48,Publisher19,Data2
PolitifactNews58,Publisher19,Data2
PolitifactNews60,Publisher19,Data2
PolitifactNews61,Publisher19,Data2
PolitifactNews62,Publisher19,Data2
PolitifactNews72,Publisher19,Data2
PolitifactNews73,Publisher19,Data2
PolitifactNews75,Publisher19,Data2
PolitifactNews78,Publisher19,Data2
PolitifactNews82,Publisher19,Data2
PolitifactNews84,Publisher19,Data2
PolitifactNews87,Publisher19,Data2
PolitifactNews93,Publisher19,Data2
PolitifactNews95,Publisher19,Data2
PolitifactNews98,Publisher19,Data2
PolitifactNews102,Publisher19,Data2
PolitifactNews105,Publisher19,Data2
PolitifactNews113,Publisher19,Data2
PolitifactNews116,Publisher19,Data2
PolitifactNews118,Publisher19,Data2
BuzzfeedNews96,Publisher20,Data1
BuzzfeedNews124,Publisher20,Data1
BuzzfeedNews3,Publisher21,Data1
BuzzfeedNews6,Publisher21,Data1
BuzzfeedNews19,Publisher21,Data1
BuzzfeedNews27,Publisher21,Data1
BuzzfeedNews30,Publisher21,Data1
BuzzfeedNews54,Publisher21,Data1
BuzzfeedNews60,Publisher21,Data1
BuzzfeedNews153,Publisher21,Data1
BuzzfeedNews155,Publisher21,Data1
BuzzfeedNews156,Publisher21,Data1
BuzzfeedNews157,Publisher21,Data1
BuzzfeedNews159,Publisher21,Data1
BuzzfeedNews162,Publisher21,Data1
BuzzfeedNews163,Publisher21,Data1
BuzzfeedNews164,Publisher21,Data1
BuzzfeedNews168,Publisher21,Data1
BuzzfeedNews171,Publisher21,Data1
BuzzfeedNews173,Publisher21,Data1
BuzzfeedNews174,Publisher21,Data1
BuzzfeedNews175,Publisher21,Data1
BuzzfeedNews176,Publisher21,Data1
BuzzfeedNews177,Publisher21,Data1
BuzzfeedNews178,Publisher21,Data1
BuzzfeedNews182,Publisher21,Data1
PolitifactNews2,Publisher21,Data2
PolitifactNews16,Publisher21,Data2
PolitifactNews39,Publisher21,Data2
PolitifactNews47,Publisher21,Data2
BuzzfeedNews105,Publisher22,Data1
BuzzfeedNews169,Publisher22,Data1
BuzzfeedNews160,Publisher23,Data1
BuzzfeedNews172,Publisher23,Data1
BuzzfeedNews181,Publisher23,Data1
BuzzfeedNews103,Publisher24,Data1
BuzzfeedNews108,Publisher24,Data1
BuzzfeedNews52,Publisher25,Data1
BuzzfeedNews77,Publisher26,Data1
BuzzfeedNews107,Publisher26,Data1
BuzzfeedNews154,Publisher26,Data1
PolitifactNews91,Publisher26,Data2
BuzzfeedNews144,Publisher27,Data1
BuzzfeedNews106,Publisher28,Data1
BuzzfeedNews113,Publisher28,Data1
BuzzfeedNews115,Publisher28,Data1
BuzzfeedNews116,Publisher28,Data1
BuzzfeedNews119,Publisher28,Data1
BuzzfeedNews139,Publisher28,Data1
BuzzfeedNews140,Publisher28,Data1
BuzzfeedNews150,Publisher28,Data1
PolitifactNews44,Publisher28,Data2
PolitifactNews65,Publisher28,Data2
PolitifactNews124,Publisher28,Data2
PolitifactNews125,Publisher28,Data2
PolitifactNews133,Publisher28,Data2
PolitifactNews144,Publisher28,Data2
PolitifactNews151,Publisher28,Data2
PolitifactNews154,Publisher28,Data2
PolitifactNews157,Publisher28,Data2
PolitifactNews159,Publisher28,Data2
PolitifactNews161,Publisher28,Data2
PolitifactNews162,Publisher28,Data2
PolitifactNews166,Publisher28,Data2
PolitifactNews167,Publisher28,Data2
PolitifactNews170,Publisher28,Data2
PolitifactNews171,Publisher28,Data2
PolitifactNews177,Publisher28,Data2
PolitifactNews178,Publisher28,Data2
PolitifactNews181,Publisher28,Data2
PolitifactNews192,Publisher28,Data2
PolitifactNews193,Publisher28,Data2
PolitifactNews194,Publisher28,Data2
PolitifactNews197,Publisher28,Data2
PolitifactNews207,Publisher28,Data2
PolitifactNews208,Publisher28,Data2
PolitifactNews210,Publisher28,Data2
PolitifactNews211,Publisher28,Data2
PolitifactNews212,Publisher28,Data2
PolitifactNews214,Publisher28,Data2
PolitifactNews216,Publisher28,Data2
PolitifactNews235,Publisher28,Data2
PolitifactNews199,Publisher29,Data2
PolitifactNews153,Publisher30,Data2
PolitifactNews172,Publisher31,Data2
PolitifactNews232,Publisher32,Data2
PolitifactNews240,Publisher32,Data2
PolitifactNews233,Publisher33,Data2
PolitifactNews174,Publisher34,Data2
PolitifactNews231,Publisher35,Data2
PolitifactNews142,Publisher36,Data2
PolitifactNews239,Publisher37,Data2
PolitifactNews128,Publisher38,Data2
PolitifactNews51,Publisher39,Data2
PolitifactNews158,Publisher40,Data2
PolitifactNews141,Publisher41,Data2
PolitifactNews164,Publisher43,Data2
PolitifactNews143,Publisher44,Data2
PolitifactNews163,Publisher45,Data2
PolitifactNews173,Publisher45,Data2
PolitifactNews160,Publisher46,Data2
PolitifactNews191,Publisher47,Data2
PolitifactNews139,Publisher48,Data2
PolitifactNews227,Publisher49,Data2
PolitifactNews203,Publisher50,Data2
PolitifactNews222,Publisher51,Data2
PolitifactNews123,Publisher53,Data2
PolitifactNews132,Publisher53,Data2
PolitifactNews229,Publisher53,Data2
PolitifactNews138,Publisher54,Data2
PolitifactNews209,Publisher55,Data2
PolitifactNews168,Publisher56,Data2
PolitifactNews165,Publisher57,Data2
PolitifactNews49,Publisher58,Data2
PolitifactNews237,Publisher59,Data2
PolitifactNews130,Publisher60,Data2
PolitifactNews195,Publisher61,Data2
PolitifactNews185,Publisher62,Data2
PolitifactNews4,Publisher63,Data2
PolitifactNews50,Publisher63,Data2
PolitifactNews117,Publisher63,Data2
PolitifactNews150,Publisher64,Data2
PolitifactNews215,Publisher65,Data2
PolitifactNews234,Publisher65,Data2
PolitifactNews204,Publisher66,Data2
PolitifactNews189,Publisher67,Data2
PolitifactNews225,Publisher68,Data2
PolitifactNews127,Publisher69,Data2
PolitifactNews219,Publisher70,Data2
PolitifactNews230,Publisher70,Data2
PolitifactNews135,Publisher71,Data2
PolitifactNews156,Publisher71,Data2
PolitifactNews198,Publisher72,Data2
PolitifactNews206,Publisher73,Data2
PolitifactNews140,Publisher74,Data2
PolitifactNews149,Publisher75,Data2
PolitifactNews126,Publisher76,Data2
PolitifactNews186,Publisher77,Data2
PolitifactNews129,Publisher78,Data2
PolitifactNews221,Publisher79,Data2
PolitifactNews236,Publisher80,Data2
PolitifactNews137,Publisher81,Data2
PolitifactNews226,Publisher82,Data2
PolitifactNews155,Publisher83,Data2
PolitifactNews182,Publisher83,Data2
PolitifactNews187,Publisher83,Data2
PolitifactNews213,Publisher83,Data2
PolitifactNews238,Publisher84,Data2
PolitifactNews147,Publisher85,Data2
PolitifactNews205,Publisher85,Data2
PolitifactNews223,Publisher86,Data2
PolitifactNews224,Publisher87,Data2
PolitifactNews175,Publisher88,Data2
PolitifactNews179,Publisher89,Data2
PolitifactNews180,Publisher89,Data2
PolitifactNews146,Publisher90,Data2
PolitifactNews145,Publisher91,Data2
PolitifactNews184,Publisher92,Data2
PolitifactNews202,Publisher93,Data2
PolitifactNews122,Publisher95,Data2
PolitifactNews148,Publisher95,Data2
PolitifactNews220,Publisher96,Data2
PolitifactNews131,Publisher97,Data2
PolitifactNews134,Publisher97,Data2
PolitifactNews169,Publisher97,Data2
PolitifactNews176,Publisher97,Data2
PolitifactNews183,Publisher97,Data2
PolitifactNews228,Publisher97,Data2
PolitifactNews188,Publisher98,Data2
PolitifactNews196,Publisher99,Data2
PolitifactNews200,Publisher100,Data2
PolitifactNews201,Publisher101,Data2
PolitifactNews218,Publisher102,Data2
PolitifactNews136,Publisher104,Data2
PolitifactNews152,Publisher105,Data2
PolitifactNews190,Publisher106,Data2
PolitifactNews217,Publisher107,Data2
